Beneficiary_Geographic_Level,Beneficiary_Geographic_Description,State_Code,Beneficiary_Geographic_County,Beneficiary_Geographic_Code,Beneficiary_Age_Level,Beneficiary_Demographic_Level,Beneficiary_Demographic_Description,Beneficiary_Multiple_Chronic_Condition_Group,Prevalence,Total_Medicare_Standardized_Per_Capita_Spending,Total_Medicare_Per_Capita_Spending,Hospital_Readmission_Rate,"Emergency_Room_Visits_per_1,000_Beneficiaries"
County,Alabama : Choctaw,1,Choctaw,1023,All,All,All,0 to 1,0.2225,2243.7012,2011.3425,0.0,260.2941
County,Alabama : Choctaw,1,Choctaw,1023,All,All,All,2 to 3,0.3151,4929.9091,4436.3502,,493.2503
County,Alabama : Choctaw,1,Choctaw,1023,All,All,All,4 to 5,0.2592,10483.0567,9584.4646,,770.202
County,Alabama : Choctaw,1,Choctaw,1023,All,All,All,6+,0.2032,31488.6066,28217.5896,0.2074,2180.3543
County,Alabama : Clarke,1,Clarke,1025,All,All,All,0 to 1,0.3271,2232.8555,2006.5861,,288.9831
County,Alabama : Clarke,1,Clarke,1025,All,All,All,2 to 3,0.3013,6248.4281,5684.6594,0.1007,543.6983
County,Alabama : Clarke,1,Clarke,1025,All,All,All,4 to 5,0.2184,11576.4813,10420.0958,0.1343,958.1218
County,Alabama : Clarke,1,Clarke,1025,All,All,All,6+,0.1533,29838.9844,27119.6889,0.2298,1889.6926
County,Alabama : Clay,1,Clay,1027,All,All,All,0 to 1,0.2612,1616.2494,1428.4797,0.0,228.1481
County,Alabama : Clay,1,Clay,1027,All,All,All,2 to 3,0.2864,4999.2881,4429.9135,,431.0811
County,Alabama : Clay,1,Clay,1027,All,All,All,4 to 5,0.2562,8256.9128,7379.0016,0.1,726.5861
County,Alabama : Clay,1,Clay,1027,All,All,All,6+,0.1962,27685.0429,25784.4298,0.1945,1863.9053
County,Alabama : Cleburne,1,Cleburne,1029,All,All,All,0 to 1,0.2665,1978.2031,1797.605,,226.4151
County,Alabama : Cleburne,1,Cleburne,1029,All,All,All,2 to 3,0.2824,6041.9751,5411.0575,,473.9726
County,Alabama : Cleburne,1,Cleburne,1029,All,All,All,4 to 5,0.2507,9003.181,8194.9549,0.1367,774.6914
County,Alabama : Cleburne,1,Cleburne,1029,All,All,All,6+,0.2004,29494.7598,26415.5404,0.2326,1903.4749
County,Alabama : Coffee,1,Coffee,1031,All,All,All,0 to 1,0.2217,2176.9362,1993.1197,0.0,282.0225
County,Alabama : Coffee,1,Coffee,1031,All,All,All,2 to 3,0.2887,5544.4803,4982.3312,,475.8412
County,Alabama : Coffee,1,Coffee,1031,All,All,All,4 to 5,0.2815,9255.6079,8207.9119,0.0814,742.0354
County,Alabama : Coffee,1,Coffee,1031,All,All,All,6+,0.2081,26077.4877,23125.7464,0.2075,2048.474
County,Alabama : Colbert,1,Colbert,1033,All,All,All,0 to 1,0.2142,2379.0257,2081.0496,,344.5572
County,Alabama : Colbert,1,Colbert,1033,All,All,All,2 to 3,0.3089,5315.8536,4673.6476,0.051,558.3626
County,Alabama : Colbert,1,Colbert,1033,All,All,All,4 to 5,0.2671,10274.7189,8931.1033,0.1342,889.7929
County,Alabama : Colbert,1,Colbert,1033,All,All,All,6+,0.2098,26475.6402,22734.6367,0.2125,1927.9661
County,Alabama : Conecuh,1,Conecuh,1035,All,All,All,0 to 1,0.2216,1700.9505,1558.8256,0.0,309.4406
County,Alabama : Conecuh,1,Conecuh,1035,All,All,All,2 to 3,0.2914,5540.107,5168.411,,545.2128
County,Alabama : Conecuh,1,Conecuh,1035,All,All,All,4 to 5,0.2735,9289.1231,8585.9847,0.1144,977.3371
County,Alabama : Conecuh,1,Conecuh,1035,All,All,All,6+,0.2135,25663.3168,23638.2418,0.1944,1932.8494
County,Alabama : Coosa,1,Coosa,1037,All,All,All,0 to 1,0.2833,2165.6156,2173.2532,,348.1625
County,Alabama : Coosa,1,Coosa,1037,All,All,All,2 to 3,0.2729,6074.5315,5510.7124,,644.5783
County,Alabama : Coosa,1,Coosa,1037,All,All,All,4 to 5,0.2537,12778.3789,11429.8326,0.2183,876.8898
County,Alabama : Coosa,1,Coosa,1037,All,All,All,6+,0.1901,22292.4712,20531.4453,0.1818,1925.072
County,Alabama : Covington,1,Covington,1039,All,All,All,0 to 1,0.2066,2487.8272,2232.626,,365.285
County,Alabama : Covington,1,Covington,1039,All,All,All,2 to 3,0.2725,5414.3558,4871.0217,0.064,594.5017
County,Alabama : Covington,1,Covington,1039,All,All,All,4 to 5,0.2679,9886.438,8919.0931,0.1105,893.6064
County,Alabama : Covington,1,Covington,1039,All,All,All,6+,0.253,26815.0421,23670.4728,0.2034,2388.1544
County,Alabama : Crenshaw,1,Crenshaw,1041,All,All,All,0 to 1,0.2582,1628.775,1395.5947,0.0,199.637
County,Alabama : Crenshaw,1,Crenshaw,1041,All,All,All,2 to 3,0.2755,4565.9563,4078.0679,,566.3265
County,Alabama : Crenshaw,1,Crenshaw,1041,All,All,All,4 to 5,0.2535,10071.5706,9077.8295,,911.2754
County,Alabama : Crenshaw,1,Crenshaw,1041,All,All,All,6+,0.2127,25669.3798,23351.5393,0.1667,2255.5066
County,Alabama : Cullman,1,Cullman,1043,All,All,All,0 to 1,0.2539,2203.7743,2023.4405,,176.5296
County,Alabama : Cullman,1,Cullman,1043,All,All,All,2 to 3,0.2931,5187.5804,4822.6438,0.0647,360.556
County,Alabama : Cullman,1,Cullman,1043,All,All,All,4 to 5,0.2411,10541.0486,9927.0402,0.1039,606.6901
County,Alabama : Cullman,1,Cullman,1043,All,All,All,6+,0.2119,26613.2393,25383.5919,0.2134,1619.391
County,Alabama : Dale,1,Dale,1045,All,All,All,0 to 1,0.2406,1914.9904,1684.4512,0.0,329.8209
County,Alabama : Dale,1,Dale,1045,All,All,All,2 to 3,0.277,5326.7718,4722.2076,0.0976,553.7757
County,Alabama : Dale,1,Dale,1045,All,All,All,4 to 5,0.262,9776.7988,8800.2124,0.1317,890.6628
County,Alabama : Dale,1,Dale,1045,All,All,All,6+,0.2203,28272.1788,25012.1914,0.2103,2084.58
County,Alabama : Dallas,1,Dallas,1047,All,All,All,0 to 1,0.2678,1353.7828,1219.0621,0.0,270.2206
County,Alabama : Dallas,1,Dallas,1047,All,All,All,2 to 3,0.2799,5249.6709,4898.7604,0.1173,556.8581
County,Alabama : Dallas,1,Dallas,1047,All,All,All,4 to 5,0.2537,10013.0842,9231.4399,0.1279,864.1656
County,Alabama : Dallas,1,Dallas,1047,All,All,All,6+,0.1987,29061.0781,27356.4784,0.2225,2134.5995
County,Alabama : DeKalb,1,DeKalb,1049,All,All,All,0 to 1,0.2563,2221.1517,1967.2484,,213.1519
County,Alabama : DeKalb,1,DeKalb,1049,All,All,All,2 to 3,0.2902,4995.1608,4509.2358,0.0485,414.3573
County,Alabama : DeKalb,1,DeKalb,1049,All,All,All,4 to 5,0.2546,9865.3133,8978.7986,0.124,735.5403
County,Alabama : DeKalb,1,DeKalb,1049,All,All,All,6+,0.1989,25002.147,22743.0166,0.2061,1770.0925
County,Alabama : Elmore,1,Elmore,1051,All,All,All,0 to 1,0.288,2233.478,1981.2818,,223.2704
County,Alabama : Elmore,1,Elmore,1051,All,All,All,2 to 3,0.2933,5882.8854,5284.577,0.0823,409.4944
County,Alabama : Elmore,1,Elmore,1051,All,All,All,4 to 5,0.2338,10715.4913,9737.1593,0.1201,721.0654
County,Alabama : Elmore,1,Elmore,1051,All,All,All,6+,0.1849,27908.0786,25261.1926,0.2185,1905.0827
County,Alabama : Escambia,1,Escambia,1053,All,All,All,0 to 1,0.2672,2073.0083,1876.9682,,266.9433
County,Alabama : Escambia,1,Escambia,1053,All,All,All,2 to 3,0.2868,5458.0004,4907.5912,,563.7887
County,Alabama : Escambia,1,Escambia,1053,All,All,All,4 to 5,0.2421,11118.1731,10198.3056,0.1286,1098.4733
County,Alabama : Escambia,1,Escambia,1053,All,All,All,6+,0.2038,30547.4221,27994.6285,0.2408,2417.0444
County,Alabama : Etowah,1,Etowah,1055,All,All,All,0 to 1,0.2425,2058.5173,1830.4984,,230.1184
County,Alabama : Etowah,1,Etowah,1055,All,All,All,2 to 3,0.2597,5583.8803,4992.4545,0.0625,417.0616
County,Alabama : Etowah,1,Etowah,1055,All,All,All,4 to 5,0.2418,10320.8145,9139.4405,0.0883,652.9977
County,Alabama : Etowah,1,Etowah,1055,All,All,All,6+,0.256,31104.1314,27347.4595,0.248,1829.594
County,Alabama : Fayette,1,Fayette,1057,All,All,All,0 to 1,0.2295,1675.6555,1435.8723,0.0,275.2525
County,Alabama : Fayette,1,Fayette,1057,All,All,All,2 to 3,0.2605,4600.8216,4242.4533,,620.6897
County,Alabama : Fayette,1,Fayette,1057,All,All,All,4 to 5,0.2625,9248.2238,8628.9949,0.0704,890.7285
County,Alabama : Fayette,1,Fayette,1057,All,All,All,6+,0.2475,26671.4646,24752.714,0.2072,1971.897
County,Alabama : Franklin,1,Franklin,1059,All,All,All,0 to 1,0.237,1834.4824,1592.3953,,269.6356
County,Alabama : Franklin,1,Franklin,1059,All,All,All,2 to 3,0.2956,5259.5005,4589.8807,0.066,478.5714
County,Alabama : Franklin,1,Franklin,1059,All,All,All,4 to 5,0.2499,10290.8257,8980.5099,0.0871,774.9616
County,Alabama : Franklin,1,Franklin,1059,All,All,All,6+,0.2175,27889.7719,24122.7378,0.2143,1863.1951
County,Alabama : Geneva,1,Geneva,1061,All,All,All,0 to 1,0.2532,2105.4267,1896.3399,,325.0189
County,Alabama : Geneva,1,Geneva,1061,All,All,All,2 to 3,0.2741,5356.7015,4799.4487,,486.0335
County,Alabama : Geneva,1,Geneva,1061,All,All,All,4 to 5,0.2456,9667.3424,8588.1188,0.0599,748.2463
County,Alabama : Geneva,1,Geneva,1061,All,All,All,6+,0.2272,26760.0228,23377.0844,0.2014,2033.6984
County,Alabama : Greene,1,Greene,1063,All,All,All,0 to 1,0.2855,1581.9302,1412.3119,0.0,233.2657
County,Alabama : Greene,1,Greene,1063,All,All,All,2 to 3,0.2756,4234.1516,3904.4562,,405.4622
County,Alabama : Greene,1,Greene,1063,All,All,All,4 to 5,0.2368,9697.1525,9061.2229,,772.6161
County,Alabama : Greene,1,Greene,1063,All,All,All,6+,0.2021,27750.3352,25971.5558,0.2119,1805.1576
County,Alabama : Hale,1,Hale,1065,All,All,All,0 to 1,0.2898,1315.5961,1180.3993,,434.1352
County,Alabama : Hale,1,Hale,1065,All,All,All,2 to 3,0.2895,5003.448,4654.7012,,751.1468
County,Alabama : Hale,1,Hale,1065,All,All,All,4 to 5,0.2347,9289.574,8618.7334,,998.5856
County,Alabama : Hale,1,Hale,1065,All,All,All,6+,0.1859,29274.1266,27398.785,0.2044,2237.5
County,Alabama : Henry,1,Henry,1067,All,All,All,0 to 1,0.2564,2807.4838,2604.0392,0.0,198.4127
County,Alabama : Henry,1,Henry,1067,All,All,All,2 to 3,0.2723,5648.7999,5086.6938,0.0,387.2976
County,Alabama : Henry,1,Henry,1067,All,All,All,4 to 5,0.2587,10125.5342,9200.3463,0.1158,695.9371
County,Alabama : Henry,1,Henry,1067,All,All,All,6+,0.2126,24280.0739,21330.6949,0.2181,1628.3892
County,Alabama : Houston,1,Houston,1069,All,All,All,0 to 1,0.2394,2145.3374,1920.3941,,217.4154
County,Alabama : Houston,1,Houston,1069,All,All,All,2 to 3,0.2878,5352.8981,4800.3328,0.0787,444.5213
County,Alabama : Houston,1,Houston,1069,All,All,All,4 to 5,0.2556,9765.9069,8696.2253,0.1092,664.3284
County,Alabama : Houston,1,Houston,1069,All,All,All,6+,0.2171,27903.4078,24645.353,0.225,1750.7645
County,Alabama : Jackson,1,Jackson,1071,All,All,All,0 to 1,0.2335,2169.7312,1957.2336,,193.471
County,Alabama : Jackson,1,Jackson,1071,All,All,All,2 to 3,0.2809,5573.8258,5109.0306,0.0922,362.7294
County,Alabama : Jackson,1,Jackson,1071,All,All,All,4 to 5,0.2598,10685.1604,9842.1587,0.087,608.283
County,Alabama : Jackson,1,Jackson,1071,All,All,All,6+,0.2258,25487.9629,23536.22,0.2205,1733.995
County,Alabama : Jefferson,1,Jefferson,1073,All,All,All,0 to 1,0.3041,1995.5335,1820.2069,0.0791,182.4229
County,Alabama : Jefferson,1,Jefferson,1073,All,All,All,2 to 3,0.2826,6072.103,5665.678,0.0733,432.6817
County,Alabama : Jefferson,1,Jefferson,1073,All,All,All,4 to 5,0.2302,11362.7266,10647.4769,0.1173,722.8794
County,Alabama : Jefferson,1,Jefferson,1073,All,All,All,6+,0.1832,32241.9338,30536.8531,0.2361,1969.8482
County,Alabama : Lamar,1,Lamar,1075,All,All,All,0 to 1,0.2739,1915.1628,1765.1997,0.0,269.9884
County,Alabama : Lamar,1,Lamar,1075,All,All,All,2 to 3,0.2834,4812.0357,4340.3544,,619.2609
County,Alabama : Lamar,1,Lamar,1075,All,All,All,4 to 5,0.2364,10101.8097,9312.0271,0.0824,779.8658
County,Alabama : Lamar,1,Lamar,1075,All,All,All,6+,0.2063,25028.5083,22965.3167,0.2175,1915.3846
County,Alabama : Lauderdale,1,Lauderdale,1077,All,All,All,0 to 1,0.2578,2316.0986,2036.0642,,249.7457
County,Alabama : Lauderdale,1,Lauderdale,1077,All,All,All,2 to 3,0.3148,4876.9578,4273.5227,0.0664,379.4252
County,Alabama : Lauderdale,1,Lauderdale,1077,All,All,All,4 to 5,0.2425,10311.2598,8975.2626,0.1072,685.1351
County,Alabama : Lauderdale,1,Lauderdale,1077,All,All,All,6+,0.1849,26098.3007,22386.4648,0.1989,1764.977
County,Alabama : Lawrence,1,Lawrence,1079,All,All,All,0 to 1,0.2104,1891.8224,1725.2701,,250.6482
County,Alabama : Lawrence,1,Lawrence,1079,All,All,All,2 to 3,0.2819,5675.6459,5153.2413,,434.8387
County,Alabama : Lawrence,1,Lawrence,1079,All,All,All,4 to 5,0.269,9040.908,8081.7163,0.0958,762.6775
County,Alabama : Lawrence,1,Lawrence,1079,All,All,All,6+,0.2388,23638.0796,20952.639,0.1974,1757.0449
County,Alabama : Lee,1,Lee,1081,All,All,All,0 to 1,0.2805,1846.7777,1646.1524,,196.6633
County,Alabama : Lee,1,Lee,1081,All,All,All,2 to 3,0.3041,4887.4684,4446.9093,0.0765,346.2346
County,Alabama : Lee,1,Lee,1081,All,All,All,4 to 5,0.2427,9246.5433,8446.3951,0.0805,598.0134
County,Alabama : Lee,1,Lee,1081,All,All,All,6+,0.1728,25484.2386,23264.3581,0.1802,1540.8289
County,Alabama : Limestone,1,Limestone,1083,All,All,All,0 to 1,0.233,2287.7904,2066.4648,,230.2103
County,Alabama : Limestone,1,Limestone,1083,All,All,All,2 to 3,0.3047,6169.5857,5652.6372,0.1111,439.7661
County,Alabama : Limestone,1,Limestone,1083,All,All,All,4 to 5,0.2647,11042.3207,10153.1903,0.1108,764.0525
County,Alabama : Limestone,1,Limestone,1083,All,All,All,6+,0.1975,26950.6129,25042.9571,0.2269,1861.5246
County,Alabama : Lowndes,1,Lowndes,1085,All,All,All,0 to 1,0.2861,1568.2568,1387.8337,0.0,429.0221
County,Alabama : Lowndes,1,Lowndes,1085,All,All,All,2 to 3,0.2861,4668.6882,4145.8123,,536.2776
County,Alabama : Lowndes,1,Lowndes,1085,All,All,All,4 to 5,0.2464,13518.079,12273.8438,,846.1538
County,Alabama : Lowndes,1,Lowndes,1085,All,All,All,6+,0.1814,30084.8761,27163.1859,0.1823,2164.1791
County,Alabama : Macon,1,Macon,1087,All,All,All,0 to 1,0.284,1614.0836,1237.8147,,257.4103
County,Alabama : Macon,1,Macon,1087,All,All,All,2 to 3,0.2867,4992.7761,4401.5693,,420.4019
County,Alabama : Macon,1,Macon,1087,All,All,All,4 to 5,0.2521,11349.701,10184.8418,,741.652
County,Alabama : Macon,1,Macon,1087,All,All,All,6+,0.1772,27543.4895,24965.1336,0.1967,1637.5
County,Alabama : Madison,1,Madison,1089,All,All,All,0 to 1,0.2367,2325.0212,2110.2756,0.0511,188.8776
County,Alabama : Madison,1,Madison,1089,All,All,All,2 to 3,0.3087,5787.8089,5334.9004,0.0986,370.8718
County,Alabama : Madison,1,Madison,1089,All,All,All,4 to 5,0.2607,10848.0296,10029.2097,0.1128,653.012
County,Alabama : Madison,1,Madison,1089,All,All,All,6+,0.1939,26800.1122,24955.5818,0.2285,1731.373
County,Alabama : Marengo,1,Marengo,1091,All,All,All,0 to 1,0.2908,1554.1636,1395.002,,237.5317
County,Alabama : Marengo,1,Marengo,1091,All,All,All,2 to 3,0.2667,4926.9334,4473.9365,,447.9263
County,Alabama : Marengo,1,Marengo,1091,All,All,All,4 to 5,0.2439,10753.1794,10033.8622,0.1347,750.0
County,Alabama : Marengo,1,Marengo,1091,All,All,All,6+,0.1986,27546.4448,25565.3021,0.2261,1724.0099
County,Alabama : Marion,1,Marion,1093,All,All,All,0 to 1,0.2386,1984.1196,1772.7043,,273.7086
County,Alabama : Marion,1,Marion,1093,All,All,All,2 to 3,0.2932,5616.0745,5110.3707,0.0681,543.9147
County,Alabama : Marion,1,Marion,1093,All,All,All,4 to 5,0.2658,9679.1128,8847.142,0.0817,789.6194
County,Alabama : Marion,1,Marion,1093,All,All,All,6+,0.2024,26518.5489,24614.23,0.2057,2006.3636
County,Alabama : Marshall,1,Marshall,1095,All,All,All,0 to 1,0.2523,2135.718,1925.8577,,231.0878
County,Alabama : Marshall,1,Marshall,1095,All,All,All,2 to 3,0.2872,5627.1165,5096.9841,0.0542,457.6764
County,Alabama : Marshall,1,Marshall,1095,All,All,All,4 to 5,0.2477,10407.7704,9487.0116,0.1012,818.6164
County,Alabama : Marshall,1,Marshall,1095,All,All,All,6+,0.2127,26789.4508,24104.942,0.1848,1978.7095
County,Alabama : Mobile,1,Mobile,1097,All,All,All,0 to 1,0.2953,2516.9496,2321.3267,0.0614,184.9729
County,Alabama : Mobile,1,Mobile,1097,All,All,All,2 to 3,0.2717,5912.6052,5311.1322,0.1107,384.3279
County,Alabama : Mobile,1,Mobile,1097,All,All,All,4 to 5,0.2347,11395.05,10255.929,0.1483,635.7199
County,Alabama : Mobile,1,Mobile,1097,All,All,All,6+,0.1983,29413.9225,26310.691,0.2384,1667.9597
County,Alabama : Monroe,1,Monroe,1099,All,All,All,0 to 1,0.3207,1987.737,1827.0177,,425.7261
County,Alabama : Monroe,1,Monroe,1099,All,All,All,2 to 3,0.2954,7426.4328,6813.4585,0.1214,774.7748
County,Alabama : Monroe,1,Monroe,1099,All,All,All,4 to 5,0.2188,10798.535,9789.1074,,1041.3625
County,Alabama : Monroe,1,Monroe,1099,All,All,All,6+,0.165,30709.833,27898.2966,0.2496,2312.9032
County,Alabama : Montgomery,1,Montgomery,1101,All,All,All,0 to 1,0.3109,1974.616,1773.5181,,233.4637
County,Alabama : Montgomery,1,Montgomery,1101,All,All,All,2 to 3,0.2931,5469.3845,4898.1124,0.1117,436.7439
County,Alabama : Montgomery,1,Montgomery,1101,All,All,All,4 to 5,0.2264,11539.7387,10367.5323,0.1235,715.66
County,Alabama : Montgomery,1,Montgomery,1101,All,All,All,6+,0.1695,34151.8607,31013.8286,0.2553,2190.3197
County,Alabama : Morgan,1,Morgan,1103,All,All,All,0 to 1,0.2366,2290.2878,2079.5341,,183.3648
County,Alabama : Morgan,1,Morgan,1103,All,All,All,2 to 3,0.2956,5361.3757,4822.955,0.0837,377.5298
County,Alabama : Morgan,1,Morgan,1103,All,All,All,4 to 5,0.2606,10334.1093,9290.7844,0.0917,693.8425
County,Alabama : Morgan,1,Morgan,1103,All,All,All,6+,0.2072,27094.2507,24219.938,0.2119,1781.3765
County,Alabama : Perry,1,Perry,1105,All,All,All,0 to 1,0.2721,1178.6263,1074.9563,,309.8039
County,Alabama : Perry,1,Perry,1105,All,All,All,2 to 3,0.2657,4094.38,4324.9647,0.0,560.241
County,Alabama : Perry,1,Perry,1105,All,All,All,4 to 5,0.2385,8750.3618,8104.4981,,796.4206
County,Alabama : Perry,1,Perry,1105,All,All,All,6+,0.2236,26591.0094,25110.0258,0.193,1890.2148
County,Alabama : Pickens,1,Pickens,1107,All,All,All,0 to 1,0.2261,1932.6603,1752.2972,,398.8571
County,Alabama : Pickens,1,Pickens,1107,All,All,All,2 to 3,0.3261,5293.6179,5097.3973,,625.9905
County,Alabama : Pickens,1,Pickens,1107,All,All,All,4 to 5,0.2563,9789.36,9253.5224,0.0868,886.0887
County,Alabama : Pickens,1,Pickens,1107,All,All,All,6+,0.1915,28421.7874,27574.7534,0.2493,2282.0513
County,Alabama : Pike,1,Pike,1109,All,All,All,0 to 1,0.2682,1691.5021,1522.9516,0.0,291.4894
County,Alabama : Pike,1,Pike,1109,All,All,All,2 to 3,0.2936,5517.0627,4968.4878,,467.4441
County,Alabama : Pike,1,Pike,1109,All,All,All,4 to 5,0.2608,11339.5515,10231.9765,0.1014,864.3326
County,Alabama : Pike,1,Pike,1109,All,All,All,6+,0.1775,28466.6705,25580.2927,0.2293,2136.6559
County,Alabama : Randolph,1,Randolph,1111,All,All,All,0 to 1,0.2684,2001.8008,1845.4745,,247.7314
County,Alabama : Randolph,1,Randolph,1111,All,All,All,2 to 3,0.2679,5635.5922,5084.8051,,533.6364
County,Alabama : Randolph,1,Randolph,1111,All,All,All,4 to 5,0.263,10281.4965,9560.0649,0.0996,754.6296
County,Alabama : Randolph,1,Randolph,1111,All,All,All,6+,0.2007,25178.7161,23129.5671,0.175,1758.4951
County,Alabama : Russell,1,Russell,1113,All,All,All,0 to 1,0.2521,1468.3868,1336.3668,,180.1802
County,Alabama : Russell,1,Russell,1113,All,All,All,2 to 3,0.2739,4761.5035,4378.5226,,444.5596
County,Alabama : Russell,1,Russell,1113,All,All,All,4 to 5,0.2566,9230.4985,8627.6647,0.1182,676.4381
County,Alabama : Russell,1,Russell,1113,All,All,All,6+,0.2174,26260.691,24606.4551,0.2086,1815.9269
County,Alabama : Shelby,1,Shelby,1117,All,All,All,0 to 1,0.2821,2332.722,2117.5996,,149.2338
County,Alabama : Shelby,1,Shelby,1117,All,All,All,2 to 3,0.3025,6117.4592,5651.4802,0.0915,381.7316
County,Alabama : Shelby,1,Shelby,1117,All,All,All,4 to 5,0.2352,11353.801,10515.1915,0.1281,675.8125
